ee_number,job_title,current_employment_status,project_code,original_hire_date,last_hire_date,los_in_days,termination_date,reason_code,left,fired,flsa_binary,Days_Since_Promotion,Days_Since_Demotion,Days_Since_Rehire,Days_Since_TransferIn,Days_Since_TransferOut,Days_Since_NewHire
307280,Laborer Renewables,T,55090,04/11/23,04/11/23,51,06/01/23,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,630
307283,Field Engineer,A,55102,06/05/23,10/21/2024,129,Unknown,Unknown,0,0,1,NoEvent,NoEvent,71,-55,NoEvent,NoEvent
307306,Laborer Renewables,T,55087,04/13/2023,04/13/2023,55,06/07/23,Performance,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,628
307321,Laborer Renewables,T,55087,04/13/2023,04/13/2023,12,04/25/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,628
307326,Laborer Renewables,T,55090,04/13/2023,04/13/2023,140,08/31/2023,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,559,NoEvent,628
307335,HSE Site Technician,T,55093,04/12/23,04/12/23,23,05/05/23,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,629
307337,Laborer Renewables,T,55093,04/12/23,04/12/23,60,06/11/23,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,629
307349,Laborer Renewables,T,55093,04/18/2023,04/18/2023,16,05/04/23,Discharge,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,623
307353,Laborer Renewables,A,55113,04/11/23,02/26/2025,1,Unknown,Unknown,0,0,1,NoEvent,NoEvent,210,119,NoEvent,630
307353,Laborer Renewables,A,55113,04/11/23,02/26/2025,1,Unknown,Unknown,0,0,1,NoEvent,NoEvent,210,43,NoEvent,630
307353,Laborer Renewables,A,55113,04/11/23,02/26/2025,1,Unknown,Unknown,0,0,1,NoEvent,NoEvent,-57,119,NoEvent,630
307353,Laborer Renewables,A,55113,04/11/23,02/26/2025,1,Unknown,Unknown,0,0,1,NoEvent,NoEvent,-57,43,NoEvent,630
307360,Laborer Renewables,T,55085,04/11/23,04/11/23,31,05/12/23,Excessive Absenteeism,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,630
307393,Laborer Renewables,T,55093,04/19/2023,04/19/2023,55,06/13/2023,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,622
307395,Laborer Renewables,T,55306,04/19/2023,04/19/2023,16,05/05/23,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
307397,Laborer Renewables,T,55093,04/19/2023,04/19/2023,166,10/02/23,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,622
307401,Laborer Renewables,T,55093,04/19/2023,04/19/2023,12,05/01/23,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,622
307409,Electrician Renewables,A,55105,04/18/2023,04/18/2023,681,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,399,NoEvent,623
307410,Laborer Renewables,T,55306,04/11/23,04/11/23,34,05/15/2023,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,630
307415,Electrician Renewables,T,55302,04/10/23,02/07/24,44,03/22/2024,Lack of Work,0,0,0,NoEvent,NoEvent,453,NoEvent,NoEvent,631
307415,Electrician Renewables,T,55302,04/10/23,02/07/24,44,03/22/2024,Lack of Work,0,0,0,NoEvent,NoEvent,328,NoEvent,NoEvent,631
