EE #,FLSA Category,PR Dept,HireDate,Reason,Craft Class Code,Project Code
332477,Non-Exempt,4104,02/26/2025,New hire,18-77-102,55126.0
321711,Non-Exempt,4104,05/22/2024,New hire,18-64-1002,55109.0
294919,Non-Exempt,4104,04/12/2022,New hire,18-5-5100,55126.0
320524,Non-Exempt,4104,04/30/2024,New hire,18-299-522,55117.0
331270,Exempt,4104,02/03/2025,New hire,18-4-S439,55143.0
318096,Non-Exempt,4104,02/21/2024,New hire,18-40-1002,55089.0
320401,Non-Exempt,4104,05/20/2024,New hire,18-6-6520,55097.0
313173,Non-Exempt,4104,09/05/2023,New hire,18-40-1002,55310.0
305341,Non-Exempt,4104,02/27/2023,New hire,18-41-1002,55094.0
296566,Non-Exempt,4104,06/02/2022,New hire,18-8-1005,55085.0
310921,Non-Exempt,4104,07/13/2023,New hire,18-40-1002,55094.0
294739,Non-Exempt,4104,04/06/2022,New hire,18-757-506,55074.0
306984,Non-Exempt,4104,04/04/2023,New hire,18-40-1001,55093.0
306986,Non-Exempt,4104,04/04/2023,New hire,18-40-1001,55093.0
306988,Non-Exempt,4104,04/04/2023,New hire,18-40-1001,55093.0
329255,Non-Exempt,4104,10/23/2024,New hire,18-745-100,55117.0
331412,Non-Exempt,4104,01/27/2025,New hire,18-30-1003,55091.0
283889,Non-Exempt,4104,05/19/2022,New hire,18-40-1002,55085.0
321967,Non-Exempt,4104,05/28/2024,New hire,18-41-1002,55123.0
329665,Non-Exempt,4104,11/13/2024,New hire,18-30-1003,55091.0
310498,Non-Exempt,4104,07/10/2023,New hire,18-30-1001,55097.0
321841,Non-Exempt,4104,05/28/2024,New hire,18-41-1002,55123.0
301486,Non-Exempt,4104,10/18/2022,New hire,18-30-1002,55074.0
323503,Non-Exempt,4104,06/11/2024,New hire,18-41-1002,55091.0
307433,Non-Exempt,4104,04/25/2023,New hire,18-40-1002,55306.0
322429,Exempt,4104,06/17/2024,New hire,18-2-S234,55107.0
324784,Non-Exempt,4104,07/30/2024,New hire,18-197-400,55105.0
294606,Non-Exempt,4104,04/05/2022,New hire,18-40-1002,55079.0
301983,Non-Exempt,4104,10/25/2022,New hire,18-40-1002,55086.0
290987,Non-Exempt,4104,01/04/2023,New hire,18-40-1001,55087.0
305494,Exempt,4104,04/03/2023,New hire,18-2-S230,55723.0
310425,Non-Exempt,4104,07/06/2023,New hire,18-197-400,55105.0
320713,Non-Exempt,4104,04/30/2024,New hire,18-198-400,55107.0
295571,Non-Exempt,4104,05/04/2022,New hire,18-73-1003,55720.0
323056,Non-Exempt,4104,06/18/2024,New hire,18-47-400,55113.0
320439,Non-Exempt,4104,04/23/2024,New hire,18-30-1003,55094.0
329081,Non-Exempt,4104,10/23/2024,New hire,18-47-400,55109.0
291838,Non-Exempt,4104,12/07/2021,New hire,18-77-502,55113.0
312297,Non-Exempt,4104,08/15/2023,New hire,18-41-1001,55085.0
122890,Non-Exempt,4104,05/04/2022,New hire,18-40-1002,55085.0
307607,Non-Exempt,4104,04/24/2023,New hire,18-41-1001,55085.0
310854,Non-Exempt,4104,07/18/2023,New hire,18-40-1001,55311.0
291846,Non-Exempt,4104,12/07/2021,New hire,18-73-1002,55079.0
302596,Non-Exempt,4104,11/14/2022,New hire,18-40-1001,55086.0
299090,Exempt,4104,08/15/2022,New hire,18-2-S270,55086.0
307496,Non-Exempt,4104,04/19/2023,New hire,18-40-1001,55093.0
321839,Non-Exempt,4104,05/22/2024,New hire,18-796-501,55313.0
321578,Non-Exempt,4104,05/22/2024,New hire,18-796-501,55074.0
307610,Non-Exempt,4104,04/24/2023,New hire,18-41-1001,55085.0
296428,Non-Exempt,4104,05/31/2022,New hire,18-77-101,55113.0
305008,Exempt,4104,03/06/2023,New hire,18-4-S428,55085.0
310809,Non-Exempt,4104,07/10/2023,New hire,18-752-100,55302.0
292329,Non-Exempt,4104,01/12/2022,New hire,18-40-1002,55075.0
319609,Non-Exempt,4104,04/02/2024,New hire,18-8-1005,55094.0
329049,Non-Exempt,4104,10/23/2024,New hire,18-74-500,55113.0
296067,Exempt,4104,06/06/2022,New hire,18-1-S194,55099.0
306544,Non-Exempt,4104,03/28/2023,New hire,18-40-1001,55086.0
303193,Non-Exempt,4104,12/06/2022,New hire,18-30-1002,55087.0
296422,Non-Exempt,4104,05/31/2022,New hire,18-40-1001,55085.0
291020,Non-Exempt,4104,10/19/2021,New hire,18-40-1002,55079.0
294563,Exempt,4104,04/19/2022,New hire,18-2-S231,55812.0
328076,Non-Exempt,4104,09/26/2024,New hire,18-41-1002,55094.0
296173,Non-Exempt,4104,05/19/2022,New hire,18-40-1001,55085.0
310112,Non-Exempt,4104,06/20/2023,New hire,18-30-1001,55101.0
302976,Non-Exempt,4104,11/29/2022,New hire,18-40-1002,55087.0
302741,Non-Exempt,4104,11/17/2022,New hire,18-40-1003,55086.0
315781,Non-Exempt,4104,11/14/2023,New hire,18-8-1006,55094.0
303235,Non-Exempt,4104,12/06/2022,New hire,18-40-1003,55086.0
